Scotland,Woman,OnBreakOrWorking,CurrentBreakLength,CurrentBreakReason,CurrentBreakObstacles,CurrentBreakWhenReturn,WorkingArrangements,WorkingChanges,WorkingBreakLength,WorkingBreakReason,WorkingBreakObstacles,MultipleCareerBreaksNumber,MultipleCareerBreaksTotaLenth,MultipleCareerBreaksReasons,MultipleCareerBreaksDiffImpact,AllWorkMeaning,AllBreakActivity,SupportAffordableChildcare,SupportFlexWorkEmployers,SupportThroughEmployer,AllCharacteristics,AllChildrenInHousehold,AllChildrenWithASN,AllAge,AllEducation,AllYearsWorkexperience,AllEthnicity,AllPostcode
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working below my former career level;I am earning more;,6 months to 2 years,Childcare;,Lack of affordable care;Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of market insight;Lack of confidence in skills/experience;Lack in confidence;Discrimination (career gap);,"No, only one break of 6 months or more",,,,"Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Independence from other people's decisions;Fulfilment;",Studying - full-time or part-time;Stay-at-home parent;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,nice to have,very helpful,no need for this,Motherhood;,2 children,No,40 to 49 years,Doctoral (PhD) or equivalent,Over 20 years,Irish,EH14
Yes,Yes,onbreak,more than 5 years,Other Caring Responsibilities;,Career switch (unsure what);,In about a year,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Meeting family expectations;,Volunteering;,N/A,nice to have,N/A,Caring for a child with additional support needs (of any age);Older woman (55+);Perimenopausal or Menopausal;Experience of trauma;,1 child,Yes,50 to 59 years,Master's dregree or equivalent,10-15 years,White Scottish,eh21 9dq
Yes,Yes,onbreak,6 months to 2 years,Burn-out;,Health issue (lack of support);Lack of jobs (with progression);Lack of confidence in skills/experience;Lack in confidence;Career switch (can’t afford);,Within the next three months,,,,,,"Yes, three or more separate breaks of at least 6 months each",2 to 3 years,Different or unrelated reasons,Yes – later break(s) had a more significant and mostly negative impact,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Contributing to society;Giving my personal best;",Full time job;,N/A,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);Perimenopausal or Menopausal;Mental health issues;,No child,,40 to 49 years,Master's dregree or equivalent,Over 20 years,White Other British,EH41
Yes,Yes,working,,,,,"I am self-employed, working more than 30h/week",I am now working below my former career level;I am earning less;I have a better (work)life balance;My stress levels have increased ;I am less confident in my skills/ the work I do;,2 to 5 years,Maternity Leave;Maternity then own business ;,Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Career switch (unsure what);,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,Yes – later break(s) had a more significant and mostly positive impact,"Contributing to my savings/retirement;Following my ambition;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Earning money to provide for myself/my family;Fulfilment;",Stay-at-home parent;Studying - full-time or part-time;Starting own business;,nice to have,very helpful,no need for this,Motherhood;Perimenopausal or Menopausal;,2 children,No,30 to 39 years,Bachelor's degree or equivalent,15-20 years,White Scottish,Ky13
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;Childcare;,Lack of support (family/network);Lack of flexible jobs;,When I feel my daughter can be looked after by people in line with my parenting values,,,,,,"No, only one break of 6 months or more",,,,Contributing to my savings/retirement;Following my dreams;Fulfilment;Earning money to provide for myself/my family;Making change for future generations;,(Re)Training;Volunteering;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,1 child,No,40 to 49 years,Master's dregree or equivalent,10-15 years,Any other White ethnic group,Eh8
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I changed career;I am earning less;I am more confident in my skills/the work I do;,more than 5 years,Childcare;,Lack of confidence in skills/experience;Lack in confidence;Not knowing where to start;Unsuccessful applications;Discrimination (age/gender/ethnicity);,"No, only one break of 6 months or more",,,,Fulfilment;Giving my personal best;Status;Contributing to society;Being a positive role model;,Studying - full-time or part-time;(Re)Training;Volunteering;Stay-at-home parent;,N/A,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);Perimenopausal or Menopausal;Disabled or chronic health condition;,3 children,Yes,50 to 59 years,Master's dregree or equivalent,Over 20 years,Irish,EH10
Yes,Yes,onbreak,more than 5 years,Health reasons/disability/recovery;Supporting partner's career;,Health issue (lack of support);Lack of flexible jobs;Not knowing where to start;,Within six months,,,,,,"Yes, two separate breaks of at least 6 months each",more than 5 years,Different or unrelated reasons,Yes – later break(s) had a more significant and mostly negative impact,"Contributing to my savings/retirement;Being a positive role model;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Fulfilment;",Stay-at-home parent;Unpaid caring responsibility (other than your own children);,N/A,very helpful,N/A,Motherhood;Caring for an adult relative;Perimenopausal or Menopausal;Disabled or chronic health condition;,1 child,No,50 to 59 years,Secondary/high school education ,Over 20 years,White Scottish,EH13
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working below my potential/skills;,6 months to 2 years,Maternity Leave;,Lack of support (family/network) ;Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Discrimination (career gap);,"Yes, three or more separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Financial independence;Contributing to my savings/retirement;Giving my personal best;Being a positive role model;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,3 children,No,30 to 39 years,Master's dregree or equivalent,10-15 years,White Other British,Eh49
Yes,Yes,onbreak,more than 5 years,Childcare;Burn-out;Mental health ;,Lack of support (family/network);Health issue (lack of support);Lack of flexible jobs;Discrimination (career gap);Health issues (unable to work);Timing not right;,In about a year,,,,,,"Yes, two separate breaks of at least 6 months each",more than 5 years,Same or related reasons,Not sure,Earning money to provide for myself/my family;Independence from other people's decisions;Being a positive role model;Contributing to society;,Stay-at-home parent;,very helpful,very helpful,not sure,"Motherhood;Lone parent;Mental health issues;ADHD, autism or other neurodivergence ;Woman affected by domestic abuse;Experience of trauma;",3 children,Prefer not to say,30 to 39 years,Secondary/high school education ,10-15 years,White Other British,Eh23
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I changed career;I am earning less;I have a better (work)life balance;I am less confident in my skills/ the work I do;,2 to 5 years,Childcare;,Lack of support (family/network) ;Timing not right;Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Lack of market insight;Lack of confidence in skills/experience;Lack in confidence;Not knowing where to start;Discrimination (career gap);,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to society;Being a positive role model;",Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;Lone parent;Perimenopausal or Menopausal;Mental health issues;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,1 child,No,50 to 59 years,Master's dregree or equivalent,Over 20 years,White Scottish,Eh33 
Yes,Yes,working,,,,,"I am working full-time, without flexibility regarding where and/or when to work",I am now working below my former career level;,2 to 5 years,Childcare;,Lack of affordable care;Lack of support (family/network) ;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to my savings/retirement;Fulfilment;Giving my personal best;Being a positive role model;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;Mental health issues;,2 children,No,50 to 59 years,Doctoral (PhD) or equivalent,15-20 years,White Other British,EH11 1QF
